번호	성분명(한글)	표준 영문명(INCI)	상태
95	부틸아보카데이트	Butyl Avocadate	표준명 있음
96	부틸옥틸살리실레이트	Butyloctyl Salicylate	표준명 있음
97	불가리스쑥오일	Artemisia Vulgaris Oil	표준명 있음
98	브이피/에이코신코폴리머	VP/Eicosene Copolymer	표준명 있음
99	비닐다이메티콘	Vinyl Dimethicone	표준명 있음
100	비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머	Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer	표준명 있음
101	비파나무잎추출물	Eriobotrya Japonica Leaf Extract	표준명 있음
102	비피다발효용해물	Bifida Ferment Lysate	표준명 있음
103	사이클로펜타실록세인	Cyclopentasiloxane	표준명 있음
104	사이클로헥사실록세인	Cyclohexasiloxane	표준명 있음
105	사철쑥추출물	Artemisia Capillaris Extract	표준명 있음
106	사탕수수추출물	Saccharum Officinarum (Sugarcane) Extract	표준명 있음
107	살리실릭애씨드	Salicylic Acid	표준명 있음
108	살비아잎수	Salvia Officinalis (Sage) Leaf Water	표준명 있음
109	서양배추출물	Pyrus Communis (Pear) Fruit Extract	표준명 있음
110	서양산딸기잎추출물	Rubus Fruticosus (Blackberry) Leaf Extract	표준명 있음
111	서양송악잎/줄기추출물	Hedera Helix (Ivy) Leaf/Stem Extract	표준명 있음
112	석류씨오일	Punica Granatum Seed Oil	표준명 있음
113	세라마이드에이에스	Ceramide AS	표준명 있음
114	세라마이드에이피	Ceramide AP	표준명 있음
115	세라마이드엔에스	Ceramide NS	표준명 있음
116	세라마이드엔피	Ceramide NP	표준명 있음
117	세라마이드이오피	Ceramide EOP	표준명 있음
118	세테아릴글루코사이드	Cetearyl Glucoside	표준명 있음
119	세테아릴알코올	Cetearyl Alcohol	표준명 있음
120	세테아릴올리베이트	Cetearyl Olivate	표준명 있음
121	세틸알코올	Cetyl Alcohol	표준명 있음
122	센티드제라늄추출물	Pelargonium Graveolens Extract	표준명 있음
123	셀룰로오스	Cellulose	표준명 있음
